,location,latitude,longitude,country
368,"Columbia, Maryland, EE. UU.",39.1938429,-76.86460919,United States
369,"Villa Montes, Bolivia",-21.2589001,-63.4722606,Bolivia
370,"Toshima City, Tokyo, Japan",35.7261146,139.7167199,日本
371,"Satsuma, AL, USA",30.853241,-88.0561106,United States
372,"Torrance, CA",33.8358492,-118.3406288,United States
373,"Graneros, VI Región, Chile",-34.0644743,-70.7262983,Chile
374,"Colonia, Uruguay",-34.4698592,-57.8433679,Uruguay
375,"Dubbo NSW 2830, Australia",-32.2478964,148.6026502,Australia
376,"Rosario, Santa Fe, Argentina",-32.9595004,-60.6615415,Argentina
377,"Sioux Falls, United States",43.5488256,-96.7307737,United States
378,"Merrimac, WI 53561, USA",43.3733198,-89.6234552,United States
379,"Olanchito, Honduras",15.43162675,-86.69438229,Honduras
380,"Richmond, CA, USA",37.9357576,-122.347748,United States
381,"Santa Clarita, CA, USA",34.3916641,-118.542586,United States
382,"Piura, Perú",-5,-80.333333,Perú
383,"Middletown, CA 95461, USA",38.7528585,-122.6241949,United States
384,"Dixon, KY 42409, USA",37.5178218,-87.6902886,United States
385,"Puerto Cabello, Venezuela",10.4677932,-68.0436682,Venezuela
386,"Derby, CT, USA",41.3223611,-73.0890324,United States
387,"10040 Turin, Italy",45.03597876,7.484530643,Italia
388,"La Habra, CA 90631, USA",33.9316066,-117.9454867,United States
389,"Whitestone, Queens, NY, USA",40.7945457,-73.8184674,United States
390,"Zeist, Netherlands",52.08653175,5.249007958,Nederland
391,"Sunchales, Santa Fe, Argentina",-30.9450891,-61.5608072,Argentina
392,"Panguipulli, Los Ríos, Chile",-39.6419909,-72.3333801,Chile
393,"Damascus, Syria",33.5130695,36.3095814,سوريا
394,"Mandal, Norway",58.0268181,7.4534802,Norge
395,"Corona De Tucson, AZ 85641, USA",31.959317,-110.7685377,United States
396,"54516 Wittlich, Germany",49.98410967,6.912114148,Deutschland
397,"Temple, GA 30179, USA",33.7331945,-85.03112423,United States
398,"San Pedro de Jujuy, Jujuy, Argentina",-24.2311801,-64.8620656,Argentina
399,"Mazatlán, Sinaloa, Mexico",23.2313053,-106.4153144,México
400,"Villanueva, Honduras",15.3157045,-87.9932276,Honduras
401,"Charlestown, IN, USA",38.45312,-85.6702407,United States
402,"Trenton, MI, USA",42.1406552,-83.1800544,United States
403,"Independence, KY, USA",38.9431183,-84.544109,United States
404,"35690 Acigné, France",48.13620362,-1.531582143,France
405,"Lake Balboa, Los Angeles, CA, USA",34.1938237,-118.5010456,United States
406,"Ciudad Juarez, Chihuahua, Mexico",31.7097961,-106.455581,México
